2023-06-20 17:18:49.371 +00:00 [INF] Worker Service has started
2023-06-20 17:18:51.013 +00:00 [INF] The service has started at: "2023-06-20T17:18:51.0044316+00:00"
2023-06-20 17:18:56.604 +00:00 [INF] No New Clients loaded
2023-06-20 17:18:59.006 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:18:59.220 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:18:59.427 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:18:59.815 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:00.079 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:00.277 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:00.502 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:00.662 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:00.841 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:01.006 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:01.222 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:01.425 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:01.604 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:01.756 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:01.925 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:02.079 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:02.230 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:02.419 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:02.596 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:02.773 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:02.933 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:03.120 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:03.297 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:03.460 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:03.605 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:03.744 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:03.903 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:04.102 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:04.279 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:04.448 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:04.583 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:04.712 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:04.863 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:04.966 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:05.063 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:05.166 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:05.264 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:05.368 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:05.471 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:05.619 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:05.745 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:05.874 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.009 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.119 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.263 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.399 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.499 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.634 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.736 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.840 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:06.949 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.051 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.152 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.280 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.378 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.506 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.646 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.744 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.841 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:07.978 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:08.134 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:08.264 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:08.409 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:08.528 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:08.706 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:08.837 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:08.981 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:09.096 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:09.235 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:09.396 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:09.508 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:09.612 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:09.710 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:09.812 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:09.951 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.053 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.154 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.257 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.353 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.452 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.551 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.655 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.762 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:10.910 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.048 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.156 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.302 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.454 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.555 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.655 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.758 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.862 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:11.967 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.063 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.165 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.292 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.409 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.508 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.611 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.708 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.837 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:12.938 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:13.038 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:13.172 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:13.322 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:13.466 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:13.631 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:13.734 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:13.837 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:13.942 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.085 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.224 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.332 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.431 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.531 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.628 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.731 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.831 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:14.967 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:15.063 +00:00 [INF] New Provider Prescription loaded
2023-06-20 17:19:15.165 +00:00 [INF] New Provider Prescription loaded
